account_id,customer_id,account_type,balance,currency,account_open_date
ACC00059,CUST0007,Current,490837.57,EUR,2023-09-21
ACC00061,CUST0097,Current,42402.12,USD,2026-03-01
ACC00062,CUST0073,Savings,334105.51,EUR,2023-10-19
ACC00063,CUST0023,Savings,115842.81,EUR,2024-11-04
ACC00064,CUST0058,Savings,125923.29,INR,2025-07-21
ACC00065,CUST0082,Savings,278717.85,INR,2024-05-28
ACC00066,CUST0059,Current,243338.4,USD,2026-05-13
ACC00067,CUST0037,Current,146649.35,EUR,2024-12-03
ACC00068,CUST0055,Current,274241.79,INR,2023-12-05
ACC00069,CUST0057,Savings,215976.01,USD,2024-05-07
ACC00070,CUST0091,Savings,235657.2,INR,2025-02-15
ACC00071,CUST0068,Current,240946.14,INR,2025-05-14
ACC00072,CUST0065,Savings,315220.74,EUR,2025-05-10
ACC00073,CUST0074,Savings,335883.68,USD,2023-10-16
ACC00074,CUST0033,Current,328793.08,USD,2025-10-08
ACC00075,CUST0023,Savings,345895.2,EUR,2023-12-09
ACC00076,CUST0044,Current,134430.31,INR,2025-11-07
ACC00077,CUST0040,Current,117666.87,INR,2026-08-15
ACC00078,CUST0038,Savings,350063.95,USD,2025-12-23
ACC00079,CUST0028,Current,205585.97,USD,2025-06-30
ACC00080,CUST0082,Savings,30961.36,INR,2025-02-17
ACC00081,CUST0069,Savings,236743.0,USD,2023-11-17
ACC00082,CUST0071,Current,466049.5,EUR,2023-09-20
ACC00084,CUST0082,Savings,169564.68,USD,2026-05-02
ACC00085,CUST0077,Savings,473165.49,EUR,2024-05-19
ACC00086,CUST0048,Current,225522.49,EUR,2023-09-13
ACC00087,CUST0040,Savings,409444.7,EUR,2024-03-21
ACC00088,CUST0093,Savings,267526.72,USD,2023-12-08
ACC00089,CUST0079,Savings,371698.12,INR,2026-08-01
ACC00090,CUST0099,Current,481045.12,USD,2024-12-06
ACC00091,CUST0008,Current,335065.68,INR,2025-07-25
ACC00092,CUST0061,Current,201645.74,INR,2025-12-13
ACC00093,CUST0042,Savings,438776.99,EUR,2025-02-16
ACC00094,CUST0061,Savings,168062.3,INR,2025-07-16
ACC00095,CUST0079,Savings,87698.36,EUR,2024-10-06
ACC00096,CUST0027,Current,15258.44,EUR,2025-01-14
ACC00097,CUST0061,Current,489409.48,USD,2024-03-08
ACC00098,CUST0011,Savings,425578.87,USD,2026-01-08
ACC00099,CUST0036,Savings,26082.07,INR,2025-06-15
ACC00100,CUST0018,Savings,6693.74,EUR,2026-02-06
ACC00101,CUST0025,Savings,37851.69,INR,2025-09-08
ACC00102,CUST0095,Savings,465818.61,INR,2023-11-26
ACC00103,CUST0038,Current,369749.88,EUR,2024-06-12
ACC00104,CUST0017,Savings,216954.69,EUR,2024-11-14
ACC00106,CUST0041,Current,262285.99,EUR,2024-01-28
ACC00107,CUST0087,Current,287877.94,INR,2026-05-10
ACC00108,CUST0027,Savings,162876.94,USD,2026-08-27
ACC00109,CUST0044,Savings,392798.13,INR,2024-04-26
ACC00110,CUST0042,Current,392551.46,USD,2024-03-16
ACC00111,CUST0094,Savings,409829.72,USD,2023-10-06
ACC00112,CUST0079,Current,482760.59,INR,2024-06-17
ACC00113,CUST0084,Current,122879.78,EUR,2024-05-06
ACC00114,CUST0040,Savings,63711.2,INR,2024-07-09
ACC00115,CUST0058,Savings,309884.27,EUR,2024-12-26
ACC00116,CUST0015,Savings,247612.28,EUR,2026-08-16
ACC00117,CUST0027,Savings,261379.54,EUR,2023-10-19
ACC00118,CUST0024,Savings,305953.65,EUR,2025-07-18
ACC00119,CUST0061,Savings,370173.73,EUR,2024-05-25
ACC00120,CUST0028,Savings,497102.08,EUR,2026-01-02
ACC00122,CUST0098,Savings,91837.5,INR,2025-03-26
ACC00123,CUST0072,Savings,383298.87,INR,2026-05-09
ACC00124,CUST0052,Current,300320.74,EUR,2024-10-02
ACC00126,CUST0059,Current,168593.08,EUR,2025-10-05
ACC00127,CUST0085,Current,378576.35,EUR,2026-03-07
ACC00128,CUST0076,Current,305541.05,EUR,2025-04-09
ACC00129,CUST0083,Savings,346983.82,INR,2026-03-11
ACC00130,CUST0014,Savings,86477.31,USD,2025-10-14
ACC00131,CUST0042,Savings,101037.93,USD,2024-10-26
ACC00132,CUST0076,Savings,260859.26,USD,2025-05-20
ACC00133,CUST0085,Savings,273164.9,USD,2025-12-21
ACC00134,CUST0070,Current,88810.25,EUR,2025-07-22
ACC00135,CUST0058,Current,177635.68,INR,2024-01-29
ACC00136,CUST0082,Current,278358.88,EUR,2025-01-11
ACC00137,CUST0060,Current,255633.48,USD,2026-04-28
ACC00138,CUST0073,Current,312007.67,USD,2025-01-10
ACC00139,CUST0044,Savings,82444.92,INR,2026-06-30
ACC00140,CUST0038,Current,108228.27,INR,2025-07-09
ACC00141,CUST0048,Savings,11802.16,EUR,2025-10-22
ACC00142,CUST0100,Current,230388.17,EUR,2023-09-20
ACC00143,CUST0047,Savings,256929.93,INR,2025-04-14
ACC00144,CUST0053,Current,382583.93,INR,2025-07-11
ACC00145,CUST0094,Savings,233215.05,INR,2026-06-30
ACC00146,CUST0035,Current,399627.45,EUR,2025-04-16
ACC00147,CUST0080,Savings,480161.74,EUR,2024-03-15
ACC00148,CUST0052,Savings,399943.0,EUR,2023-11-23
ACC00149,CUST0078,Current,383084.21,USD,2024-11-06
ACC00150,CUST0083,Current,179187.03,EUR,2024-08-01
