transaction_id,account_id,transaction_date,transaction_type,amount,currency,status
TXN000108,ACC00119,2026-04-06,Debit,23555.5,EUR,Pending
TXN000109,ACC00081,2026-07-13,Debit,24077.19,EUR,Pending
TXN000110,ACC00148,2026-07-12,Credit,71946.18,INR,Pending
TXN000111,ACC00017,2025-09-11,Credit,52609.4,INR,Completed
TXN000113,ACC00070,2026-04-08,Debit,25539.56,EUR,Pending
TXN000114,ACC00141,2025-10-09,Credit,34294.49,INR,Failed
TXN000115,ACC00145,2025-12-12,Credit,21284.88,EUR,Failed
TXN000117,ACC00138,2026-01-13,Debit,74711.91,INR,Failed
TXN000118,ACC00118,2026-01-25,Debit,45316.12,EUR,Failed
TXN000119,ACC00044,2026-05-27,Credit,90860.08,EUR,Pending
TXN000120,ACC00052,2026-07-11,Credit,56292.08,EUR,Completed
TXN000121,ACC00047,2026-03-27,Credit,65406.32,EUR,Failed
TXN000122,ACC00017,2025-10-15,Credit,39581.0,EUR,Pending
TXN000123,ACC00091,2026-06-24,Credit,76284.3,USD,Failed
TXN000124,ACC00075,2025-10-25,Credit,86752.55,EUR,Completed
TXN000125,ACC00090,2025-09-09,Debit,93643.02,EUR,Failed
TXN000126,ACC00103,2026-03-03,Credit,25187.79,USD,Failed
TXN000127,ACC00144,2026-05-19,Debit,70280.05,USD,Failed
TXN000128,ACC00123,2026-02-10,Credit,56947.43,USD,Pending
TXN000129,ACC00147,2026-04-10,Credit,47416.24,EUR,Pending
TXN000131,ACC00026,2026-01-18,Debit,24296.59,USD,Pending
TXN000132,ACC00075,2026-05-10,Debit,13273.53,INR,Pending
TXN000133,ACC00128,2025-12-10,Credit,86849.16,INR,Pending
TXN000135,ACC00042,2025-12-03,Debit,83617.25,INR,Failed
TXN000136,ACC00103,2025-12-29,Debit,54506.28,USD,Pending
TXN000137,ACC00097,2026-02-14,Credit,46711.8,USD,Failed
TXN000138,ACC00030,2025-09-22,Debit,31227.52,INR,Pending
TXN000139,ACC00026,2026-02-23,Debit,54395.4,INR,Completed
TXN000140,ACC00052,2026-08-03,Debit,16502.12,USD,Failed
TXN000141,ACC00112,2025-11-23,Debit,64265.45,INR,Failed
TXN000142,ACC00072,2026-07-26,Credit,50135.27,INR,Failed
TXN000143,ACC00058,2026-08-28,Debit,44298.93,INR,Failed
TXN000144,ACC00088,2026-07-16,Credit,58323.22,EUR,Completed
TXN000145,ACC00110,2026-07-31,Credit,58442.95,USD,Completed
TXN000146,ACC00012,2025-11-27,Credit,8016.91,USD,Failed
TXN000148,ACC00129,2025-11-05,Debit,31987.54,INR,Pending
TXN000149,ACC00134,2026-07-31,Debit,82757.84,USD,Failed
TXN000150,ACC00117,2026-03-01,Debit,73990.01,INR,Pending
TXN000151,ACC00093,2026-02-23,Credit,90270.97,USD,Failed
TXN000152,ACC00036,2026-08-24,Debit,9455.17,INR,Completed
TXN000154,ACC00130,2026-04-24,Debit,13118.16,USD,Failed
TXN000155,ACC00118,2025-11-25,Credit,97190.91,EUR,Pending
TXN000156,ACC00099,2026-04-12,Debit,99837.71,USD,Pending
TXN000158,ACC00067,2026-04-07,Credit,66913.27,USD,Failed
TXN000159,ACC00085,2025-09-17,Debit,6848.39,EUR,Pending
TXN000161,ACC00114,2026-06-07,Credit,2619.6,EUR,Failed
TXN000162,ACC00094,2026-07-21,Credit,15760.9,EUR,Pending
TXN000163,ACC00033,2026-06-01,Credit,80188.12,EUR,Pending
TXN000164,ACC00052,2026-06-15,Debit,56179.35,INR,Completed
TXN000165,ACC00148,2025-11-14,Credit,30819.13,INR,Failed
TXN000166,ACC00096,2026-06-01,Debit,30665.16,USD,Failed
TXN000167,ACC00040,2026-07-10,Credit,53505.63,EUR,Failed
TXN000168,ACC00066,2026-05-18,Debit,40952.94,USD,Completed
TXN000169,ACC00046,2026-05-17,Debit,80573.29,EUR,Failed
TXN000170,ACC00146,2026-01-04,Debit,63668.03,USD,Pending
TXN000171,ACC00036,2026-02-28,Debit,36674.36,INR,Failed
TXN000172,ACC00032,2025-11-15,Credit,16084.09,EUR,Failed
TXN000173,ACC00056,2026-01-23,Credit,18541.52,EUR,Completed
TXN000174,ACC00018,2026-08-14,Credit,65811.87,USD,Pending
TXN000175,ACC00063,2026-04-07,Debit,50512.66,INR,Failed
TXN000177,ACC00110,2026-08-02,Debit,97481.27,INR,Failed
TXN000178,ACC00057,2025-11-15,Debit,45337.44,USD,Failed
TXN000179,ACC00068,2026-07-30,Credit,57308.4,EUR,Completed
TXN000180,ACC00053,2026-02-06,Debit,27707.46,USD,Pending
TXN000181,ACC00082,2026-04-12,Debit,58380.1,INR,Pending
TXN000182,ACC00128,2026-06-27,Credit,7691.26,USD,Completed
TXN000183,ACC00033,2025-10-09,Debit,22177.58,INR,Pending
TXN000184,ACC00063,2026-04-13,Credit,68268.91,EUR,Pending
TXN000185,ACC00115,2025-10-20,Credit,69085.01,USD,Completed
TXN000186,ACC00065,2026-08-09,Credit,73213.97,INR,Failed
TXN000187,ACC00069,2026-02-08,Credit,82693.13,EUR,Pending
TXN000188,ACC00092,2026-02-18,Debit,17422.21,USD,Pending
TXN000189,ACC00120,2025-12-23,Credit,39118.98,INR,Failed
TXN000191,ACC00096,2025-11-01,Debit,32301.88,USD,Pending
TXN000192,ACC00051,2026-02-06,Credit,96835.51,EUR,Pending
TXN000193,ACC00106,2026-05-21,Debit,58397.57,USD,Completed
TXN000194,ACC00113,2026-01-06,Debit,45526.84,USD,Failed
TXN000195,ACC00038,2026-07-12,Debit,18124.69,USD,Pending
TXN000196,ACC00071,2026-03-09,Credit,80789.78,EUR,Completed
TXN000197,ACC00062,2026-01-21,Debit,46543.91,INR,Pending
TXN000198,ACC00018,2026-06-20,Credit,95958.67,EUR,Pending
TXN000199,ACC00128,2026-01-07,Credit,29089.49,EUR,Pending
TXN000200,ACC00041,2025-11-27,Debit,29417.17,EUR,Completed
TXN000201,ACC00107,2025-11-17,Credit,71009.52,INR,Failed
TXN000202,ACC00076,2025-12-18,Credit,91238.61,USD,Completed
TXN000203,ACC00024,2026-04-11,Credit,65382.01,EUR,Completed
TXN000204,ACC00032,2025-09-29,Debit,80199.6,USD,Completed
TXN000205,ACC00025,2026-01-31,Credit,81135.11,USD,Failed
TXN000206,ACC00106,2025-12-29,Debit,7646.5,EUR,Failed
TXN000207,ACC00135,2026-05-03,Debit,76163.72,USD,Pending
TXN000209,ACC00075,2026-05-28,Credit,48359.55,EUR,Completed
TXN000210,ACC00031,2026-03-31,Debit,21582.9,INR,Pending
TXN000211,ACC00128,2026-09-03,Credit,77659.43,EUR,Failed
TXN000212,ACC00030,2026-03-17,Debit,82514.22,USD,Completed
TXN000213,ACC00094,2026-04-30,Credit,8783.99,EUR,Completed
TXN000214,ACC00078,2025-11-29,Credit,81848.2,INR,Completed
TXN000215,ACC00053,2026-08-10,Credit,86703.63,INR,Failed
TXN000216,ACC00058,2026-01-22,Debit,40562.25,EUR,Completed
TXN000217,ACC00029,2026-08-19,Credit,42023.17,INR,Failed
TXN000218,ACC00072,2026-06-28,Credit,40859.83,USD,Completed
TXN000219,ACC00056,2025-09-28,Debit,96412.23,EUR,Failed
TXN000220,ACC00020,2026-02-20,Debit,40202.0,INR,Pending
TXN000221,ACC00120,2026-03-25,Credit,76615.37,USD,Completed
TXN000222,ACC00101,2026-01-28,Debit,63010.68,EUR,Pending
TXN000223,ACC00111,2025-10-03,Debit,99419.4,EUR,Pending
TXN000224,ACC00051,2025-09-12,Debit,23936.44,EUR,Pending
TXN000225,ACC00021,2025-12-18,Credit,41446.53,EUR,Completed
TXN000226,ACC00064,2026-03-22,Debit,91464.81,INR,Pending
TXN000227,ACC00055,2026-07-06,Debit,83496.31,USD,Completed
TXN000228,ACC00126,2026-07-07,Debit,81694.5,EUR,Completed
TXN000229,ACC00111,2026-04-25,Credit,89389.19,INR,Completed
TXN000230,ACC00062,2026-02-16,Debit,13347.49,USD,Completed
TXN000231,ACC00113,2025-11-18,Debit,99802.46,INR,Completed
TXN000232,ACC00127,2026-01-26,Debit,65494.74,INR,Failed
TXN000233,ACC00034,2026-07-09,Credit,55575.19,EUR,Failed
TXN000234,ACC00044,2026-07-22,Debit,45961.87,EUR,Pending
TXN000235,ACC00139,2026-06-21,Credit,69789.37,USD,Pending
TXN000236,ACC00040,2026-01-12,Credit,27775.45,USD,Pending
TXN000237,ACC00129,2025-11-22,Debit,62719.29,USD,Completed
TXN000238,ACC00039,2026-03-13,Debit,48367.43,EUR,Completed
TXN000239,ACC00043,2026-01-17,Debit,56278.54,USD,Pending
TXN000240,ACC00132,2025-12-31,Credit,732.79,INR,Failed
TXN000242,ACC00120,2026-03-21,Debit,56262.97,INR,Pending
TXN000243,ACC00109,2026-07-13,Credit,81365.84,EUR,Failed
TXN000244,ACC00120,2025-11-30,Debit,11383.81,USD,Failed
TXN000245,ACC00092,2026-02-26,Debit,54699.04,USD,Failed
TXN000247,ACC00135,2026-05-09,Debit,56118.18,USD,Pending
TXN000248,ACC00134,2026-05-25,Credit,86972.15,USD,Completed
TXN000249,ACC00046,2026-04-21,Debit,6849.26,INR,Completed
TXN000250,ACC00036,2025-11-26,Debit,3493.78,USD,Pending
TXN000251,ACC00080,2025-11-05,Debit,91400.13,EUR,Completed
TXN000252,ACC00084,2025-11-21,Credit,49236.19,USD,Completed
TXN000253,ACC00078,2026-03-06,Debit,56465.85,USD,Pending
TXN000254,ACC00129,2026-03-14,Debit,8058.1,EUR,Completed
TXN000256,ACC00138,2025-10-03,Credit,40648.47,EUR,Failed
TXN000257,ACC00134,2026-07-13,Debit,28876.33,INR,Failed
TXN000258,ACC00073,2026-05-16,Credit,65987.17,INR,Pending
TXN000259,ACC00088,2026-05-02,Debit,23690.78,USD,Pending
TXN000260,ACC00144,2025-09-06,Credit,64284.88,INR,Failed
TXN000261,ACC00065,2026-07-18,Credit,12782.41,INR,Pending
TXN000263,ACC00075,2026-04-13,Credit,45664.25,INR,Completed
TXN000264,ACC00106,2025-12-01,Credit,41409.98,USD,Pending
TXN000265,ACC00022,2026-01-22,Credit,83126.47,USD,Pending
TXN000266,ACC00035,2025-11-06,Credit,36341.03,EUR,Completed
TXN000267,ACC00011,2026-03-11,Debit,54470.77,EUR,Failed
TXN000268,ACC00093,2025-09-13,Credit,713.69,USD,Completed
TXN000269,ACC00024,2026-09-03,Debit,60619.49,USD,Completed
TXN000270,ACC00017,2026-08-26,Credit,10151.32,EUR,Pending
TXN000271,ACC00142,2025-09-15,Credit,55821.14,USD,Failed
TXN000272,ACC00127,2026-01-13,Credit,5430.06,USD,Completed
TXN000273,ACC00110,2026-02-05,Credit,3148.12,USD,Completed
TXN000274,ACC00057,2026-03-10,Credit,15091.67,USD,Failed
TXN000275,ACC00141,2026-04-09,Credit,7942.43,EUR,Pending
TXN000276,ACC00059,2026-02-05,Debit,68650.41,INR,Completed
TXN000277,ACC00037,2026-06-18,Debit,39456.64,USD,Completed
TXN000278,ACC00107,2026-02-12,Debit,11960.77,EUR,Failed
TXN000279,ACC00131,2025-10-04,Debit,49002.49,EUR,Completed
TXN000281,ACC00049,2025-12-17,Credit,40542.77,USD,Pending
TXN000282,ACC00040,2026-02-12,Credit,1985.59,EUR,Pending
TXN000283,ACC00033,2026-08-28,Credit,15999.49,USD,Pending
TXN000284,ACC00106,2025-12-06,Credit,54824.14,USD,Completed
TXN000285,ACC00116,2025-09-15,Debit,7447.8,EUR,Failed
TXN000286,ACC00043,2026-02-25,Debit,44902.37,EUR,Pending
TXN000287,ACC00011,2026-07-31,Debit,16976.96,EUR,Failed
TXN000288,ACC00068,2025-09-16,Credit,67991.45,EUR,Failed
TXN000289,ACC00051,2026-03-13,Credit,26065.35,INR,Failed
TXN000290,ACC00147,2025-11-20,Credit,64043.05,EUR,Pending
TXN000291,ACC00036,2025-11-05,Debit,85071.84,INR,Pending
TXN000292,ACC00075,2026-03-05,Debit,71168.08,EUR,Failed
TXN000293,ACC00113,2026-01-10,Credit,64484.0,USD,Pending
TXN000294,ACC00065,2025-12-23,Credit,11077.39,INR,Failed
TXN000295,ACC00135,2026-02-20,Credit,78582.43,EUR,Pending
TXN000296,ACC00043,2025-11-10,Credit,18452.01,USD,Pending
TXN000298,ACC00052,2026-01-19,Credit,22582.48,EUR,Failed
TXN000299,ACC00147,2025-09-17,Credit,77899.77,USD,Completed
TXN000301,ACC00100,2025-10-22,Debit,45124.7,USD,Failed
TXN000302,ACC00061,2026-02-18,Debit,62942.76,EUR,Pending
TXN000303,ACC00066,2025-10-15,Credit,63856.83,EUR,Pending
TXN000304,ACC00071,2026-05-22,Credit,80538.26,USD,Failed
TXN000305,ACC00115,2025-11-09,Credit,1039.86,EUR,Failed
TXN000306,ACC00095,2025-11-07,Credit,16388.73,USD,Pending
TXN000307,ACC00066,2026-05-24,Debit,57958.71,USD,Pending
TXN000308,ACC00053,2026-03-05,Debit,92688.75,EUR,Pending
TXN000309,ACC00073,2026-08-29,Credit,64064.21,EUR,Pending
TXN000310,ACC00091,2026-09-05,Credit,6569.51,USD,Failed
TXN000311,ACC00097,2026-04-16,Credit,15412.37,EUR,Failed
TXN000312,ACC00042,2026-07-21,Credit,30956.07,INR,Pending
TXN000313,ACC00081,2026-05-16,Credit,63362.36,INR,Pending
TXN000314,ACC00010,2026-08-21,Debit,93426.47,INR,Pending
TXN000315,ACC00118,2026-06-10,Debit,27853.73,INR,Failed
TXN000317,ACC00126,2026-02-03,Credit,29955.32,USD,Pending
TXN000318,ACC00023,2025-12-06,Debit,5383.26,INR,Pending
TXN000319,ACC00139,2026-03-18,Credit,29520.86,EUR,Failed
TXN000320,ACC00132,2026-08-22,Credit,52314.46,EUR,Completed
TXN000321,ACC00020,2026-03-14,Credit,24105.02,INR,Failed
TXN000322,ACC00117,2026-02-09,Debit,61101.55,EUR,Failed
TXN000324,ACC00038,2025-11-01,Debit,99909.66,EUR,Completed
TXN000326,ACC00126,2026-03-14,Credit,46023.8,USD,Pending
TXN000327,ACC00141,2025-10-09,Debit,66385.32,EUR,Completed
TXN000328,ACC00131,2026-04-08,Credit,17099.61,INR,Pending
TXN000329,ACC00051,2026-07-29,Credit,50811.24,USD,Failed
TXN000330,ACC00041,2026-04-03,Debit,26637.98,INR,Completed
TXN000331,ACC00061,2026-03-06,Credit,63793.7,INR,Failed
TXN000332,ACC00046,2026-03-02,Debit,66921.84,EUR,Failed
TXN000333,ACC00119,2026-07-19,Debit,93236.72,USD,Completed
TXN000334,ACC00075,2026-05-12,Debit,31939.06,INR,Pending
TXN000335,ACC00135,2026-08-25,Debit,37185.61,EUR,Failed
TXN000338,ACC00028,2025-12-25,Debit,41184.48,INR,Pending
TXN000339,ACC00128,2026-07-07,Debit,7715.18,USD,Pending
TXN000340,ACC00030,2026-08-12,Debit,26599.13,USD,Completed
TXN000341,ACC00101,2025-10-31,Credit,89086.74,INR,Pending
TXN000342,ACC00088,2025-10-10,Credit,44509.78,INR,Pending
TXN000343,ACC00139,2025-10-16,Credit,4861.34,INR,Completed
TXN000344,ACC00103,2026-06-06,Credit,31403.54,USD,Pending
TXN000345,ACC00031,2026-08-11,Debit,88573.46,USD,Pending
TXN000346,ACC00123,2026-08-12,Credit,83733.14,EUR,Completed
TXN000347,ACC00130,2026-03-13,Credit,53009.75,EUR,Pending
TXN000348,ACC00096,2026-06-13,Credit,94024.95,EUR,Pending
TXN000349,ACC00081,2026-02-22,Credit,85165.79,INR,Failed
TXN000350,ACC00027,2026-06-20,Debit,826.62,EUR,Failed
TXN000351,ACC00094,2026-06-04,Debit,2364.66,EUR,Pending
TXN000352,ACC00115,2026-01-05,Debit,38973.14,USD,Pending
TXN000353,ACC00077,2025-11-16,Debit,6684.03,EUR,Failed
TXN000354,ACC00141,2026-01-18,Credit,74124.12,USD,Completed
TXN000355,ACC00094,2026-06-08,Credit,55380.15,USD,Completed
TXN000356,ACC00101,2025-12-25,Debit,99847.15,INR,Failed
TXN000357,ACC00041,2025-12-05,Debit,30257.8,USD,Failed
TXN000358,ACC00112,2025-11-14,Credit,34514.98,EUR,Failed
TXN000359,ACC00037,2026-08-10,Credit,47372.94,USD,Completed
TXN000360,ACC00110,2026-08-19,Debit,58714.16,INR,Completed
TXN000361,ACC00035,2026-02-23,Credit,728.39,USD,Pending
TXN000362,ACC00038,2025-10-08,Debit,44763.33,USD,Completed
TXN000363,ACC00106,2026-05-31,Credit,33552.63,USD,Failed
TXN000364,ACC00146,2026-03-22,Debit,50981.08,INR,Pending
TXN000365,ACC00061,2026-08-12,Debit,69313.22,USD,Completed
TXN000366,ACC00110,2026-03-01,Debit,92665.7,INR,Failed
TXN000367,ACC00025,2025-11-10,Credit,11265.07,INR,Pending
TXN000368,ACC00092,2026-05-06,Debit,32990.65,EUR,Completed
TXN000369,ACC00139,2026-06-04,Debit,2698.45,INR,Failed
TXN000370,ACC00109,2026-01-13,Credit,72414.11,USD,Completed
TXN000371,ACC00014,2026-06-13,Credit,50473.03,INR,Completed
TXN000372,ACC00117,2026-01-05,Debit,64476.95,INR,Failed
TXN000373,ACC00039,2025-10-28,Credit,89579.73,USD,Pending
TXN000375,ACC00118,2026-07-28,Debit,33034.92,EUR,Pending
TXN000376,ACC00091,2026-08-27,Debit,41131.93,EUR,Failed
TXN000377,ACC00145,2026-03-30,Credit,67026.21,INR,Pending
TXN000378,ACC00131,2026-03-23,Debit,43321.13,USD,Failed
TXN000379,ACC00030,2026-05-22,Credit,28822.85,USD,Pending
TXN000380,ACC00057,2026-04-06,Debit,54064.76,USD,Completed
TXN000381,ACC00012,2026-05-14,Credit,29541.66,INR,Completed
TXN000382,ACC00037,2025-10-05,Credit,3362.85,INR,Failed
TXN000383,ACC00015,2025-10-25,Debit,68383.29,USD,Failed
TXN000384,ACC00101,2026-03-19,Credit,25939.42,USD,Pending
TXN000385,ACC00026,2026-02-12,Debit,72254.46,EUR,Pending
TXN000386,ACC00019,2025-11-21,Debit,72856.57,USD,Completed
TXN000387,ACC00046,2025-12-24,Debit,3565.72,INR,Failed
TXN000388,ACC00129,2026-03-25,Debit,67686.92,USD,Pending
TXN000389,ACC00072,2026-01-01,Credit,59667.41,EUR,Completed
TXN000390,ACC00071,2025-09-22,Debit,60050.87,EUR,Completed
TXN000392,ACC00097,2026-07-22,Credit,42367.8,USD,Failed
TXN000393,ACC00102,2025-12-09,Debit,98356.81,EUR,Pending
TXN000394,ACC00016,2025-10-21,Credit,48573.68,EUR,Failed
TXN000395,ACC00096,2025-09-22,Debit,36492.92,INR,Pending
TXN000396,ACC00136,2026-08-10,Credit,94541.72,USD,Completed
TXN000397,ACC00089,2025-12-18,Debit,67642.19,USD,Completed
TXN000399,ACC00066,2026-04-11,Credit,80805.41,USD,Failed
TXN000400,ACC00077,2025-12-21,Debit,43160.83,USD,Completed
TXN000402,ACC00064,2025-12-27,Credit,81285.75,EUR,Failed
TXN000403,ACC00048,2025-12-01,Debit,80220.75,INR,Failed
TXN000404,ACC00070,2026-03-01,Debit,69372.66,EUR,Pending
TXN000405,ACC00074,2026-04-09,Debit,51503.32,INR,Pending
TXN000406,ACC00052,2025-11-17,Debit,27286.02,EUR,Failed
TXN000407,ACC00010,2026-01-09,Debit,78716.45,USD,Failed
TXN000408,ACC00102,2025-10-30,Debit,84172.67,INR,Pending
TXN000409,ACC00127,2026-02-15,Debit,92085.81,INR,Completed
TXN000410,ACC00092,2025-09-18,Credit,20043.71,INR,Pending
TXN000411,ACC00118,2026-07-07,Debit,65443.37,EUR,Pending
TXN000413,ACC00149,2026-02-23,Credit,73327.82,USD,Failed
TXN000414,ACC00103,2025-12-15,Credit,23805.82,EUR,Completed
TXN000415,ACC00073,2026-09-05,Credit,35674.11,EUR,Pending
TXN000416,ACC00101,2026-06-09,Credit,26417.07,EUR,Completed
TXN000417,ACC00104,2026-07-12,Credit,53971.02,EUR,Completed
TXN000418,ACC00076,2025-12-15,Credit,44375.9,INR,Completed
TXN000419,ACC00070,2025-10-25,Debit,22204.8,INR,Completed
TXN000420,ACC00071,2025-09-21,Credit,62178.13,INR,Failed
TXN000421,ACC00038,2026-02-04,Credit,18262.13,USD,Pending
TXN000422,ACC00061,2025-12-07,Debit,32742.91,INR,Completed
TXN000423,ACC00025,2025-12-30,Debit,31988.77,USD,Completed
TXN000424,ACC00062,2026-05-02,Credit,44899.35,USD,Failed
TXN000425,ACC00113,2025-10-12,Debit,36911.94,INR,Completed
TXN000427,ACC00101,2025-12-23,Debit,33085.48,EUR,Completed
TXN000428,ACC00076,2026-07-31,Debit,5749.73,INR,Completed
TXN000429,ACC00130,2026-04-26,Credit,54502.32,USD,Completed
TXN000430,ACC00047,2025-12-21,Credit,69339.82,EUR,Pending
TXN000431,ACC00077,2025-09-27,Credit,50937.74,USD,Failed
TXN000432,ACC00137,2026-04-08,Debit,60350.07,INR,Pending
TXN000433,ACC00040,2025-09-13,Credit,55290.46,USD,Failed
TXN000434,ACC00150,2025-10-08,Credit,48433.68,EUR,Failed
TXN000435,ACC00051,2026-06-29,Credit,50070.29,INR,Completed
TXN000436,ACC00145,2026-03-28,Credit,56626.36,EUR,Failed
TXN000437,ACC00100,2025-10-05,Credit,9768.29,USD,Failed
TXN000438,ACC00110,2026-08-30,Credit,67877.16,USD,Pending
TXN000439,ACC00089,2026-04-13,Credit,33943.07,USD,Failed
TXN000440,ACC00126,2026-03-25,Credit,15513.54,USD,Completed
TXN000441,ACC00104,2026-03-28,Credit,10569.7,INR,Pending
TXN000442,ACC00146,2026-08-03,Debit,20095.7,EUR,Failed
TXN000443,ACC00055,2025-11-28,Debit,80845.11,USD,Completed
